Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,End_year,Description,Content_Warning,Related_Mange,Related_anime,Voice_actors,staff
11199,World Witches Take Off!, World Witches Hasshin Shimasu!,TV   ,12.0,acca effe,Winter,"Comedy, Sci Fi, Slice of Life, Animal Characteristics, Gag, Historical, Magic, Military",3.15,2021.0,,No synopsis yet - check back soon!,,,Strike Witches: 501st JOINT FIGHTER WING Take Off!,"Aleksandra I. Pokryshkin : Yumi Hara, Charlotte E Yeager : Ami Koshimizu, Edytha Rossmann : Hiromi Igarashi, Eila Ilmatar Juutilainen : Ayuru Ohashi, Erica Hartmann : Sakura Nogawa, Francesca Lucchini : Chiwa Saitou, Georgette Lemare : Haruka Terui, Gertrud Barkhorn : Mie Sonozaki, Fumio Itou
Director, Seikou Nagaoka
Music, Kei Ajiki
Character Design","Fumio Itou : Director, Seikou Nagaoka : Music, Kei Ajiki : Character Design"
11200,Glay: Kanojo wa Zombie, Kanojo wa Zombie,Music,,Millepensee,,"Action, Romance, Interspecies Relationship, Supernatural, Zombies, Explicit Violence",3.15,2016.0,,No synopsis yet - check back soon!,Explicit Violence,,,"Shin Itagaki
Director & Storyboard, Glay
Music","Shin Itagaki : Director & Storyboard, Glay : Music"
11201,Birthday,,Movie,,,,"No Dialogue, Shorts",3.15,2007.0,,No synopsis yet - check back soon!,,,,"Toshiaki Hanzaki
Director & Music",Toshiaki Hanzaki : Director & Music
11202,Final Fantasy: The Spirits Within,,Movie,,Visual Works,,"Action, Sci Fi, Post-apocalyptic, Based on a Video Game, CG Animation",3.15,2001.0,,"In the year 2065, life on Earth is almost extinct due to an invasion of creatures known as ""Phantoms."" Only a few cities remain in the midst of a wasteland, which are shielded by barriers that the spirit-like Phantoms cannot cross. While the brilliant scientist Aki Ross and her mentor Dr. Sid want to find a way to peacefully end the conflict with the Phantoms, the military would prefer to fire a space cannon to eradicate the mysterious life forms from the planet – though Earth might be destroyed in the process. In a race against time, can Aki and Dr. Sid find a solution before the cannon is fired?",,"Final Fantasy: Crystal Chronicles - Super Comic Gekijou, Final Fantasy XII, Final Fantasy Type-0, Final Fantasy VII: On the Way to a Smile (Light Novel), Final Fantasy VII: Lateral Biography Turks (Light Novel), Final Fantasy Type-0 Side Story - The Ice Reaper, Final Fantasy: Lost Stranger","Final Fantasy: Legend of the Crystals, Final Fantasy: Unlimited, Final Fantasy VII: Advent Children, Final Fantasy VII: Advent Children - Venice Film Festival Footage, Final Fantasy VII: Last Order, Final Fantasy VII: On the Way to a Smile, Episode: Denzel, Brotherhood: Final Fantasy XV, Kingsglaive: Final Fantasy XV","Aki Ross : Keiko Toda, Gray Edwards : Rikiya Koyama, Dr. Sid : Kiyoshi Kobayashi, General Hein : Tsutomu Isobe, Jane : Jun Karasawa, Neil : Atsushi Goto, Ryan : Akio Ootsuka, Female Council Member : Jean Simmons, Motonori Sakakibara
Director, Hironobu Sakaguchi
Producer & Director, Elliot Goldenthal
Music, Shuukou Murase
Character Design, Jun Aida
Producer, Chris Lee
Producer","Motonori Sakakibara : Director, Hironobu Sakaguchi : Producer & Director, Elliot Goldenthal : Music, Shuukou Murase : Character Design, Jun Aida : Producer, Chris Lee : Producer"
11203,Shigofumi Picture Drama,,DVD S,,,,Picture Drama,3.15,2008.0,,No synopsis yet - check back soon!,,Shigofumi: Stories of Last Letter (Light Novel),"Shigofumi, Shigofumi Special","Fumika : Kana Ueda, Kanaka : Yuki Matsuoka, Chiaki : Masumi Asano, Matoma : Masayuki Katou, Takuma Hasune, Haruno Kasai : Fumiko Orikasa, Kaname Nojima : Takuma Terashima, Kirameki Mikawa : Rikiya Koyama",
11204,The Qwaser Of Stigmata, Seikon no Qwaser,TV   ,24.0,Hoods Entertainment,Winter,"Action, Ecchi, Shounen, Borderline H, Fetish, Panty Shots, Russia, Supernatural, Superpowers, Based on a Manga, Explicit Sex,, Mature Themes,, Physical Abuse,, Sexual Abuse",3.15,2010.0,,"At St. Mihailov Academy, strange things are happening. Not only did the dean disappear, leaving his daughter Tomo and adopted daughter Mafuyu alone, but girls in the nearby city are being killed by an unknown foe. However, the blades begin to fly when a Russian boy named Sasha arrives. He is a Qwaser, a person able to manipulate the elements after ingesting Soma, breast milk, and he’s not the only one. Soon Tomo and Mafuyu find themselves in the middle of a battle between two groups of Qwasers whose goal is to protect or steal the Theotokos of Tsarytsin. With more allies and enemies arriving, who will survive the assault?","Explicit Sex,, Mature Themes,, Physical Abuse,, Sexual Abuse",The Qwaser of Stigmata,"The Qwaser Of Stigmata Picture Drama, The Qwaser of Stigmata: Portrait of the Empress, The Qwaser of Stigmata II, The Qwaser of Stigmata II Picture Drama","Aleksander Nikolaevich Hell : Yuuko Sanpei, Mafuyu Oribe : Ayumi Fujimura, Tomo Yamanobe : Aki Toyosaki, Ekaterina Kurae : Aya Hirano, Fool : Masayuki Katou, Fumika Mitarai : Kana Hanazawa, Hana Katsuragi : Youko Hikasa, Lizzie : Ai Shimizu, Hiroyuki Yoshino
Original Creator, Hiraku Kaneko
Director, Tatsuya Katou
Music, Makoto Uno
Character Design, Koujirou Hayashi
Photography Director, Takao Asaga
Producer, Masaru Nagai
Producer, Hiroyuki Birukawa
Producer","Hiroyuki Yoshino : Original Creator, Hiraku Kaneko : Director, Tatsuya Katou : Music, Makoto Uno : Character Design, Koujirou Hayashi : Photography Director, Takao Asaga : Producer, Masaru Nagai : Producer, Hiroyuki Birukawa : Producer"
11205,Heidi: Heidi to Clara Hen, Alps no Shoujo Heidi: Heidi to Clara Hen,TV   ,,,,"Countryside, Disability, Europe, Historical, Lifestyle Change, Orphans, Recap, Switzerland, Based on a Novel",3.15,1996.0,,No synopsis yet - check back soon!,,Alps no Shoujo Heidi (Gyuugo YAMADA),"Heidi, Heidi Movie, Heidi: Alm no Yama Hen","Clara Sesemann, Heidi, Peter",
11206,Girly Air Force,,TV   ,12.0,SATELIGHT,Winter,"Action, Sci Fi, Aviation, Military, Based on a Light Novel",3.15,2019.0,,"Mysterious flying creatures called Zai suddenly appear and overwhelm all of mankind's aerial combat forces. To fight them, mankind modifies existing aircraft frames to create mechanized soldiers called ""Daughters,"" which are operated by automated piloting mechanisms called ""Anima"" that have the appearance of human girls. The story begins when Narutani Kei, a boy who yearns to take to the skies, encounters a shining red aircraft and its pilot, an Anima named Gripen who has been named mankind's trump card.",,"Girly Air Force (Light Novel), Girly Air Force",,"Gripen : Yuuka Morishima, Kei Narutani : Ryouta Oosaka, Eagle : Hitomi Ohwada, Haruka Yashirodoori : Kenji Nomura, Phantom : Shiori Izawa, Rhino : Ryouko Shiraishi, Funato : Jouji Nakata, Minghua Song : Lynn, Katsumi Ono
Director, I'Ve Sound
Music, Tooru Imanishi
Character Design, Hiroyuki Gotou
Cg Director, Takaaki Yuasa
Producer, Tomoyuki Oowada
Producer, Hirotaka Kaneko
Producer, Souji Miyagi
Producer","Katsumi Ono : Director, I'Ve Sound : Music, Tooru Imanishi : Character Design, Hiroyuki Gotou : Cg Director, Takaaki Yuasa : Producer, Tomoyuki Oowada : Producer, Hirotaka Kaneko : Producer, Souji Miyagi : Producer"
11207,Punchnello & Yerin Baek: Nagseo, Punchnello & Yerin Baek: Doodle,Music,,,,"Romance, Korean Animation",3.15,2019.0,,No synopsis yet - check back soon!,,,,"Mareykrap
Director, Punchnello
Music, Yerin Baek
Music","Mareykrap : Director, Punchnello : Music, Yerin Baek : Music"
11208,Tayutayu -Pure my Heart-,,DVD S,,SILVER LINK.,,"Comedy, Fantasy, Animal Characteristics, Based on an Eroge, Based on a Visual Novel",3.15,2009.0,,"Yuuri Mito, Mashiro, and their friends have returned and are ready for fun! Whether they're playing rock-paper-scissors or kick the can they always enjoy themselves – often injuring others in the process. Whether they’re visiting the hot springs (while avoiding peeping toms), talking to mysterious animals about the meaning of life, or even attempting to catch the famous thief, Kaito Mashiro, life’s never dull for Yuuri and the gang!",,Tayutama: Kiss on My Deity,Tayutama -Kiss on my Deity-,"Mashiro Mito : Noriko Rikimaru, Nue : Rie Nakagawa, Yumina Takanashi : Kaori Mizuhashi, Yuuri Mito : Satoshi Hino, Ameri Kawai : Asami Shimoda, Azrael : Rie Nakagawa, Mifuyu Kisaragi : Shizuka Itou, Ouryuu : Daisuke Kishio, Shigenobu Okawa
Music, Yutaka Minobe
Music, Haruo Oogawara
Character Design","Shigenobu Okawa : Music, Yutaka Minobe : Music, Haruo Oogawara : Character Design"
11209,Tactical Roar,,TV   ,13.0,Actas,Winter,"Ecchi, Romance, Sci Fi, Military, Original Work",3.15,2006.0,,"In the western Pacific Ocean there is an everlasting cyclone known as the Grand Roar which has changed Earth's climate for the worse. As a result, air travel is no longer feasible, naval travel has become the norm for transporting goods, and a new age of sea pirates has begun. The female-manned Pascal Magi is an escort ship which protects other traveling vessels, and is led by the no-nonsense Misaki Nanaha. Hyousuke Nagimiya is an engineer who has been assigned to update the Pascal Magi's systems, but he soon learns that his estranged sister is none other than Misaki herself. Hyousuke now travels the seas with the crew of the Pascal Magi, observing as they help to protect the sea and prevent the military's disbanding of the ship.",,,Tactical Roar Special,"Hyousuke Nagamiya : Hisayoshi Suganuma, Misaki Nanaha : Mai Nakahara, Tsubasa Watatsumi, Clio Aquanaut, Hakubi, Kunio Okamachi, Lemara Hamaguchi, Mashu Akoya, Yoshitaka Fujimoto
Director, Masumi Itou
Music, Takeshi Itou
Character Design, Jun Yukawa
Producer, Manabu Santou
Producer, Kenichi Ishikura
Episode Director","Yoshitaka Fujimoto : Director, Masumi Itou : Music, Takeshi Itou : Character Design, Jun Yukawa : Producer, Manabu Santou : Producer, Kenichi Ishikura : Episode Director"
11210,Kirin the Noop,,TV   ,,,,"Animal Protagonists, Family Friendly, Non-Human Protagonists, Short Episodes",3.15,2014.0,,No synopsis yet - check back soon!,,,,"Masaru Sugimoto
Music",Masaru Sugimoto : Music
11211,Reset, Minna no Uta: Reset,Music,,,,Minna no Uta,3.15,2003.0,,No synopsis yet - check back soon!,,,,"Keizou Kira
Director",Keizou Kira : Director
11212,Winner, Minna no Uta: Winner,Music,,,,"Sports, Family Friendly, Minna no Uta",3.15,2007.0,,No synopsis yet - check back soon!,,,,"Jun Aoki
Director",Jun Aoki : Director
11213,Yoshida Katsuko no Yabai wa! SDGs: Araburu! Trouble! Sustainable!,,TV   ,13.0,DLE,Fall ,"Comedy, Educational, Parody, Short Episodes, Original Work",3.15,2021.0,,"The anime centers on Katsuko Yoshida, the cousin of Eagle Talon's Yoshida-kun, and an employee in Kemonomichi Electronics' ""special general affairs"" section. She educates her poorly informed colleagues about their misunderstandings of Sustainable Development Goals, the United Nations-backed goals for member nations to attain a sustainable future.",,,Himitsukessha Taka no Tsume,"Frogman
Director & Character Design",Frogman : Director & Character Design
11214,Steel Angel Kurumi 2, Koutetsu Tenshi Kurumi 2,TV   ,12.0,OLM,Spring,"Comedy, Ecchi, Sci Fi, Slice of Life, Androids, Interspecies Relationship, Non-Human Protagonists, Robots, Original Work",3.15,2001.0,,"Nako Kagura, middle school student and aspiring cello player, lives with her ever-so-lively mother in a home that was once a temple used by her mystic ancestors. Little does she know, the catacomb-like basement beneath her home holds an Angel, who has been sleeping for 75 years. As fate would have it, a quick run to the basement leads to her reactivating Steel Angel Kurumi, who is as energetic as ever and just thrilled to have a new 'master'. Unfortunately, Nako's childhood friend Uruka is not impressed, nor is she happy about the newfound bond between Nako and Kurumi. Jealousy is powerful, as is Uruka's family, and they will pull no stops to introduce Kurumi to her demise!",,Steel Angel Kurumi,"Steel Angel Kurumi, Steel Angel Kurumi Encore, Steel Angel Kurumi Zero","Karinka, Kurumi, Nako Kagura, Saki, Uruka Sumeragi, Amagi, Kyanwan, Misaki Kagura, Kaishaku
Original Creator, Naohito Takahashi
Director, Toshihiko Sahashi
Music, Yuuji Ikeda
Character Design","Kaishaku : Original Creator, Naohito Takahashi : Director, Toshihiko Sahashi : Music, Yuuji Ikeda : Character Design"
11215,Heidi Pilot, Alps no Shoujo Heidi Pilot,TV Sp,,,,"19th Century, Countryside, Europe, Family Friendly, Short Episodes, Switzerland, Based on a Novel",3.15,1967.0,,No synopsis yet - check back soon!,,,Heidi,,
11216,Cinderella Express,,OVA  ,1.0,Studio Look,,"Comedy, Romance, Seinen, Based on a Manga, Mature Themes,, Nudity,, Prostitution,, Sexual Content",3.15,1989.0,,No synopsis yet - check back soon!,"Mature Themes,, Nudity,, Prostitution,, Sexual Content",Cinderella Express,,"Chima : Toshie Sakaue, Yuji Shimano : Toshihiko Seki, Misa : Mika Doi, Hikaru Yuzuki
Original Creator, Moriyasu Taniguchi
Character Design, Kenji Terada
Screenplay","Hikaru Yuzuki : Original Creator, Moriyasu Taniguchi : Character Design, Kenji Terada : Screenplay"
11217,Ultra Dino Makera,,Other,,RG Animation Studios,,"Desert, Dinosaurs, Korean Animation, Shorts, Original Work",3.15,2008.0,,No synopsis yet - check back soon!,,,,Dino,
11218,Island,,TV   ,12.0,feel.,Summer,"Drama, Harem, Mystery, Romance, Amnesia, Island, Time Travel, Based on a Visual Novel",3.15,2018.0,,"The island of Urashima sits on the ocean far, far away from the mainland. The island is so lush and beautiful that one might mistake it for paradise, but the people there are trapped by a complex past and long-established traditions. Long since abandoned and all but forgotten by the mainland, the people of the island are ready to give up hope. But then, a young man named Setsuna who calls himself a ""time traveler"" washes up on the island. Setsuna has lost all of his memories except for a certain mission that he must fulfill. On Urashima he meets three girls, Rinne, Karen, and Sara, and begins.",,Island,,"Karen Kurutsu : Kana Asumi, Rinne Ohara : Yukari Tamura, Sara Garando : Hibiku Yamamura, Setsuna Sanzenkai : Tatsuhisa Suzuki, Kuon Ohara : Rina Satou, Ann Hatoma : Tomoyo Takayanagi, Archbishop : Kenshiro Usuki, Cardinal : Shinobu Matsumoto, Keiichirou Kawaguchi
Director, Akiyuki Tateyama
Music, Kousuke Kawamura
Character Design, Hiroshi Gotou
Producer, Kenji Ebato
Producer, Hirohiko Kanbe
Producer, Nobuhiko Kurosu
Producer, Isami Nakagawa
Producer","Keiichirou Kawaguchi : Director, Akiyuki Tateyama : Music, Kousuke Kawamura : Character Design, Hiroshi Gotou : Producer, Kenji Ebato : Producer, Hirohiko Kanbe : Producer, Nobuhiko Kurosu : Producer, Isami Nakagawa : Producer"
11219,Mahou no Mako-chan,,TV   ,48.0,Toei Animation,,"Magical Girl, Romance, Henshin Heroes, Magic, Mermaids, Based on a Fairy Tale",3.15,1970.0,1971.0,"Mako is a young siren and daughter to the King of the Sea. In a stormy day she rescues the young sporto Akira from a wrecked ship, but ends up fallign in love with him. So, with help from the Witch of the Sea, she's transformed into a human, and becomes a highschool student who helps everyone with her strong sense of love and justice and her magical pendant, the ""Tear of the Mermaid""...",,,,"Mako : Kazuko Sugiyama, Banchou : Hiroshi Otake, Haruko : Sachiko Chijimatsu, Jiro : Keiko Tomochika, Mama : Michiko Hirai, Papa : Isao Yatsu, Senkichi : Akira Kamiya, Taro : Hiroko Maruyama, Yugo Serikawa
Director, Toshiyasu Okada
Character Design, Shinya Takahashi
Character Design","Yugo Serikawa : Director, Toshiyasu Okada : Character Design, Shinya Takahashi : Character Design"
11220,Human Crossing, Ningen Kousaten,TV   ,13.0,A.C.G.T,Spring,"Drama, Slice of Life, Episodic, Based on a Manga",3.15,2003.0,,"There is nothing stranger than life, and modern day Japan quietly watches over the comings and goings of thirteen completely unrelated lives and their stories. From a boxer fighting the scars of his childhood, to a father vying for the attention of his disinterested son, all experience the complex eccentricities and intricacies of relationships. Do memories and experiences really make us a stronger person for the bigger picture, or are most people happy just to sit back and let life pass them by?",,Ningen Kosaten,,"Aki Noguchi : Takashi Sorimachi, Aizawa : Takaya Hashi, Machiko Suzuki : Narumi Hidaka, Masao Yajima
Original Creator, Kazunari Kume
Director, Yuusuke Hayashi
Music, Sachiko Kamimura
Character Design, Tsutomu Fujita
Art Director, Noriko Kobayashi
Producer, Machiu Hattori
Producer, Takuo Suzuki
Storyboard","Masao Yajima : Original Creator, Kazunari Kume : Director, Yuusuke Hayashi : Music, Sachiko Kamimura : Character Design, Tsutomu Fujita : Art Director, Noriko Kobayashi : Producer, Machiu Hattori : Producer, Takuo Suzuki : Storyboard"
11221,FACT: Rise,,Music,,,,"Sci Fi, Robots",3.15,2009.0,,No synopsis yet - check back soon!,,,,"Fact
Music",Fact : Music
11222,Fairy Ngoo,,Other,,,,"Chibi, Short Episodes",3.15,2019.0,,No synopsis yet - check back soon!,,,Fairy gone,,
11223,Nem: a sweet typhoon,,Music,,,,Vocaloid,3.15,2015.0,,No synopsis yet - check back soon!,,,,"Len Kagamine, Nem
Producer",Nem : Producer
11224,Morinaga Ramune McShake CM,,Web  ,1.0,,,"Commercials, Food and Beverage, Promotional, Shorts",3.15,2020.0,,No synopsis yet - check back soon!,,,,,
11225,The Town Musicians of Bremen,,Movie,,,,"Animal Protagonists, Melancholy, Music, No Dialogue, Non-Human Protagonists, Shorts, Based on a Fairy Tale",3.15,2012.0,,"A donkey has grown old and weak after having worked for a human being for a long time. Realizing his prime time has passed, the donkey decides to go to Bremen to join the town musicians. On the way there, he meets a dog, a cat, and a rooster, and they find the robbers’ house. Four animals chase the robbers away from the house. They make their new lives with their new home.",,,,,
11226,Spirit Warrior, Kujakuou,OVA  ,3.0,AIC,,"Action, Horror, Demons, Based on a Manga",3.15,1988.0,1991.0,"A young mystic without a past, Kujaku was born under a dark omen possessed of incredible supernatural powers. Raised by priests, he has learned to use these powers for good. But the evil Siegfried von Mittgard seeks to steal his birthright, and rule the world as the Regent of Darkness. He has dispatched bloodthirsty minions to destroy Kujaku before he can awaken to his destiny. Now, Kujaku must unravel the riddle of his past, before the power within consumes him.",,"Peacock Lord, Peacock Lord: Sengoku Tensei",Spirit Warrior 2,"Kujaku : Toshihiko Seki, Abe No Seimei : Ryuji Nakagi, Asura : Arisa Andou, Hatsuko Ikeda : Maria Kawamura, Kaiho Ko : Kazuhiko Inoue, Nobunga Oda : Chikao Ohtsuka, Onimaru : Tesshou Genda, Saeko Ninomiya : Saeko Shimazu, Makoto Ogino
Original Creator, Katsuhito Akiyama
Director, Ichirou Itano
Director, Rintarou
Director, Toshiyuki Honda
Music, Hisashi Abe
Character Design, Masayuki
Character Design, Akira Takeuchi
Key Animator","Makoto Ogino : Original Creator, Katsuhito Akiyama : Director, Ichirou Itano : Director, Rintarou : Director, Toshiyuki Honda : Music, Hisashi Abe : Character Design, Masayuki : Character Design, Akira Takeuchi : Key Animator"
11227,The Diary of Tortov Roddle Specials, Aru Tabibito no Nikki Specials,DVD S,,Robot,,"Adventure, Fantasy, Abstract, No Dialogue, Original Work",3.15,2006.0,,"One day, while travelling, Tortov Roddle finds himself in a vast open meadow and discovers a sumptuous-looking red berry. However, after munching on a couple of these delectable fruits, the traveller realizes that there can be some unintended side effects to eating unknown food…",,,The Diary of Tortov Roddle,"Tortov Roddle, Kunio Kato
Director, Kenji Kondo
Music, Masanori Kusakabe
Producer, Emi Matsumoto
Producer","Kunio Kato : Director, Kenji Kondo : Music, Masanori Kusakabe : Producer, Emi Matsumoto : Producer"
11228,Chibi Devi!,,TV   ,75.0,Synergy SP,Fall ,"Comedy, Shoujo, Slice of Life, Childcare, Demons, Short Episodes, Supernatural, Based on a Manga",3.15,2011.0,2014.0,"Honoka Sawada is a lonely fourteen year-old girl who has no friends at school and spends her nights alone - that is, until one day she wakes up to find a fire-breathing baby named Mao in her bed! After meeting the mysterious principal of the Chibi Devil nursery, Honoka learns that Mao is in fact a demon baby, and she is now his surrogate mother. With only her anime-obsessed childhood friend Kyou and his hot-headed pal Shin to rely on, Honoka decides she can’t possibly look after a child and asks the principal to find a replacement parent. Now, until a substitue can be found, Honoka will have to spend the next month looking after Mao, but will she be able to cope?",,Chibi Devi!,,"Honoka Sawada : Yuka Iguchi, Mao : Noriko Shitaya, Shin Sugisaki :  Hiroyuki Yoshino, Itou : Ayumi Fujimura, Karin : Ryou Hirohashi, Natsuki Takayama : Rie Yamaguchi, Principal : Souichirou Hoshi, Rai : Mikako Takahashi, Hiromu Shinozuka
Original Creator, Maki Kamitani
Director, Kotaro Nakagawa
Music, Shouko Hagiwara
Character Design, Akiko Fujita
Sound Director, Tomoya Negishi
Producer, Takeyuki Suzuki
Producer, Masahiro Saitou
Producer","Hiromu Shinozuka : Original Creator, Maki Kamitani : Director, Kotaro Nakagawa : Music, Shouko Hagiwara : Character Design, Akiko Fujita : Sound Director, Tomoya Negishi : Producer, Takeyuki Suzuki : Producer, Masahiro Saitou : Producer"
11229,Bokura Machi Bouzu!, Minna no Uta: Bokura Machi Bouzu!,Music,,,,"Family Friendly, Minna no Uta",3.15,1998.0,,No synopsis yet - check back soon!,,,,"Tadahiko Horiguchi
Director",Tadahiko Horiguchi : Director
11230,Deaerutte Ii ne, Minna no Uta: Deaerutte Ii ne,Music,,,,Minna no Uta,3.15,1993.0,,No synopsis yet - check back soon!,,,,,
11231,Kuchiroro: Umi,,Music,,,,"Abstract, Stop Motion Animation",3.15,2009.0,,"The official music video for Umi from the album everyday a symphony, by Kuchiroro.",,,,"Yoriko Mizushiri
Director, Kuchiroro
Song Performance","Yoriko Mizushiri : Director, Kuchiroro : Song Performance"
11232,Mameshiba no Ouchi de Tanoshimu Mame Chishiki,,Web  ,1.0,,,"Food Protagonists, Non-Human Protagonists, Shorts",3.15,2021.0,,No synopsis yet - check back soon!,,,Mameshiba,,
11233,White Album,,TV   ,13.0,Seven Arcs,Winter,"Drama, Romance, Idols, Based on an Eroge, Based on a Visual Novel",3.15,2009.0,,"Touya Fujii is a young university student who juggles two part-time jobs with his studies so that he can afford to live. The most important thing in his life is his girlfriend Yuki, but since she is an up and coming idol they barely get a chance to talk, let alone see each other. With her managers keeping a close watch on her and attempting to prevent their relationship, it seems that Touya and Yuki will simply have to make the most of their fleeting moments together. However, they do have one person fighting in their corner: Yuki’s friend - the famous idol Rina Ogata - hires Touya in order to create opportunities for the pair to be together. Unfortunately he is promptly fired when the production company discover her plan. When she pledges to make it up to him, Touya begins to wonder if Rina is all that she seems, and why is she going to so much trouble for him and Yuki?",,White Album,"White Album 2nd Season, White Album 2, White Album 2 Picture Drama","Rina Ogata : Nana Mizuki, Touya Fujii : Tomoaki Maeno, Yuki Morikawa : Aya Hirano, Akira Nanase : Daisuke Sakaguchi, Eiji Ogata : Shou Hayami, Haruka Kawashima : Nozomi Masu, Mana Mizuki : Haruka Tomatsu, Misaki Sawakura : Megumi Takamoto, Junpei Fujita
Music, Hitoshi Fujima
Music, Kou Yoshinari
Character Design, Akio Mishima
Producer, Yuki Yase
Episode Director & Storyboard, Yoshiaki Kyougoku
Key Animator","Junpei Fujita : Music, Hitoshi Fujima : Music, Kou Yoshinari : Character Design, Akio Mishima : Producer, Yuki Yase : Episode Director & Storyboard, Yoshiaki Kyougoku : Key Animator"
11234,Classroom☆Crisis Special,,DVD S,,Lay-duce,,"Comedy, Sci Fi, Slice of Life, Original Work",3.15,2015.0,,"Episode 5.5 will be ""another episode 5"" scripted by series composition writer and Saekano original creator Fumiaki Maruto. In the original episode 5, the A-TEC members go on a graduation trip.",,"Classroom Crisis, Classroom Crisis: Another Crisis (Light Novel), Classroom Crisis (Light Novel)",Classroom☆Crisis,,
11235,Chinzei Hachirou Tametomo,,Web  ,1.0,Production I.G,,"Action, Historical, Shorts, Original Work",3.15,2020.0,,No synopsis yet - check back soon!,,,,,
11236,Akai Koudan Zillion, Zillion,TV   ,31.0,Tatsunoko Production,,"Sci Fi, Original Work",3.15,1987.0,,"In AD 2387, mankind has colonized the galaxy, including Planet Maris - ""Second Earth."". Unfortunately for humanity, the Noza space invaders have plans of their own and launch an attack. However, a shred of hope remains: from the corners of the galaxy, three guns known as Zillion were acquired; with them, mankind just might have a chance against the Noza. Against all odds, Champ, Apple and J.J. - members of an elite task force - must wield the Zillion and put a stop to the invaders!",,,"Akai Koudan Zillion Specials, Akai Koudan Zillion Utahime Yakyoku","Apple : Yuuko Mizutani, Baron Riks : Shou Hayami, Champ : Kazuhiko Inoue, Jj : Toshihiko Seki, Ady : Chie Koujiro, Amy Harrison : Chieko Honda, Anthony : Nozomi Sasaki, Bernstein : Osamu Kobayashi, Mayori Sekijima
Series Composition, Jun Irie
Music, Takayuki Gotou
Character Design, Shinji Takagi
Episode Director, Hideki Tonokatsu
Episode Director & Storyboard, Takaaki Ishiyama
Storyboard","Mayori Sekijima : Series Composition, Jun Irie : Music, Takayuki Gotou : Character Design, Shinji Takagi : Episode Director, Hideki Tonokatsu : Episode Director & Storyboard, Takaaki Ishiyama : Storyboard"
11237,Salsa Ii na Ii ne, Minna no Uta: Salsa Ii na Ii ne,Music,,,,"Family Friendly, Minna no Uta",3.15,2009.0,,No synopsis yet - check back soon!,,,,,
11238,Dragon Slayer: The Legend of Heroes, Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,OVA  ,2.0,Tokyo Kids,,"Action, Fantasy, Demons, Dragons, Magic, RPG, Swordplay, Based on a Video Game, Violence",3.15,1992.0,,"When Sirius was a young boy, his father, the king of Faaren, was killed by the Demon Lord Ackram, his mother was kidnapped, and his kingdom was taken over by dark forces. Saved only by his father's companion, Rias, he was raised to become a swordsman, to avenge his father and reclaim the throne. Armed with determination and quick fighting skills, Sirius must now race against the clock to save his mother and defeat his father's murderer -- but first, he must battle with the shapeshifter Zagi, whose powers can easily destroy him...",Violence,,,"Serios : Kappei Yamaguchi, Gale : Akio Ootsuka, Akudam : Shigezou Sasaoka, Aron : Kouhei Miyauchi, Felicia : Mari Yokoo, Roh : Nobuo Tobita, Ryunan : Hideyuki Hori, Sonia : Wakana Yamazaki, Noriyuki Nakamura
Director, Hisashi Hirai
Character Design","Noriyuki Nakamura : Director, Hisashi Hirai : Character Design"
11239,Miko no Tsutome!, A Miko's Job!,Web  ,10.0,hololive production,,"Comedy, Short Episodes, VTubers, CG Animation, Original Work",3.15,2018.0,2019.0,No synopsis yet - check back soon!,,,Holo no Graffiti,"Kintoki, Miko Sakura : Miko Sakura, Fubuki Shirakami : Fubuki Shirakami, Roboco : Roboco, Rosenthal Aki : Rosenthal Aki, Subaru Oozora : Subaru Oozora",
11240,Bakuon!! OVA,,OVA  ,2.0,8 Pan,,"Seinen, Slice of Life, Motorcycles, School Club, School Life, Based on a Manga",3.15,2016.0,,"Sakura Hane is worn-out climbing a hilly road with a bicycle, but she meets a girl riding a motorcycle and then joins a motorcycle club.",,"Bakuon!!, Bakuon!! Amano Onsa no Nikoichi Hanjouki, Bakuon!! Suzunoki Rin no Yabou","Bakuon!!, Bakuon!! no Kobeya","Hane Sakura : Reina Ueda, Hijiri Minowa : Rikako Yamaguchi, Onsa Amano : Yumi Uchiyama, Raimu Kawasaki, Rin Suzunoki : Nao Touyama, Hayakawa : Unshou Ishizuka, Onsa'S Father : Mitsuo Iwata, Store Clerk, Mimana Orimoto
Original Creator, Junji Nishimura
Director, Ryousuke Nakanishi
Music, Isao Sugimoto
Character Design","Mimana Orimoto : Original Creator, Junji Nishimura : Director, Ryousuke Nakanishi : Music, Isao Sugimoto : Character Design"
